Date,DIA,GS.N,NKE.N,CSCO.OQ,JPM.N,DIS.N,INTC.OQ,MRK.N,CVX.N,AXP.N,VZ.N,HD.N,WBA.OQ,MCD.N,UNH.N,KO.N,JNJ.N,MSFT.OQ,HON.OQ,CRM.N,PG.N,IBM.N,MMM.N,AAPL.OQ,WMT.N,CAT.N,AMGN.OQ,V.N,TRV.N,BA.N
2017-06-02,211.91,213.31,52.98,31.98,82.64,107.18,36.32,62.427347219999994,103.11,78.49,46.44,155.35,83.1,153.74,179.39,45.89,130.08,71.76,128.32654502657107,90.86,88.59,145.23268620000002,206.7,38.8625,79.62,105.95,159.15,96.15,125.15,190.23
2017-06-05,211.86,213.99,53.01,31.76,82.79,106.52,36.34,62.045936819999994,103.19,78.97,46.37,154.79,83.38,152.79,179.37,45.99,130.36,72.28,127.80952395431599,91.38,88.74,145.57654524,206.22,38.4825,80.26,105.2,160.22,96.55,125.38,188.95
2017-06-06,211.37,214.53,52.48,31.56,82.96,105.5,36.13,61.66452642,104.17,78.85,46.44,154.2,81.45,151.23,180.82,45.98,130.83,72.52,127.09143913173949,91.1,88.8,145.53833868,205.41,38.6125,78.93,104.55,159.53,95.79,124.03,186.75
2017-06-07,211.72,215.78,53.23,31.61,83.91,105.92,36.26,61.08287556,103.77,79.81,46.5,154.96,81.46,151.94,183.21,45.51,130.75,72.39,127.07229020313744,91.39,88.77,144.21066072,205.01,38.8425,79.15,103.51,161.66,96.09,123.5,188.1
2017-06-08,211.86,218.76,53.2,31.61,84.95,104.32,36.48,60.2628432,104.0,79.95,46.19,153.5,81.47,151.43,181.69,45.13,130.55,71.95,127.86697074012213,91.25,87.85,145.2804444,205.94,38.7475,78.93,105.01,162.65,96.09,123.78,189.93
2017-06-09,212.67,222.44,53.46,31.37,86.96,105.62,35.71,61.39753914,106.4,80.31,46.72,152.96,80.99,151.48,181.46,45.32,131.53,70.32,128.09675788334658,87.27,88.16,147.1907724,206.93,37.245,79.42,105.92,164.06,94.56,125.23,190.03
2017-06-12,212.4,221.91,54.03,31.25,86.98,107.04,35.73,61.39753914,108.04,80.17,47.19,152.18,81.81,148.47,179.25,45.33,131.82,69.78,127.58931127539253,86.18,88.24,148.22234952,207.39,36.355,79.24,106.07,164.88,93.5,125.67,190.0
2017-06-13,213.37,224.2,54.31,31.7,87.27,106.56,35.88,60.329590020000005,108.13,80.59,46.46,153.99,81.8,149.82,181.05,45.03,132.02,70.65,128.6712257414078,87.27,88.06,147.334047,209.11,36.6475,79.52,105.75,164.43,95.08,126.1,191.09
2017-06-14,213.84,226.51,54.66,31.6,87.09,106.14,35.53,60.424942619999996,106.6,80.84,46.69,156.76,82.88,150.68,182.36,45.3,132.77,70.27,128.52760877689252,87.17,88.44,146.91377484,210.01,36.29,79.9,104.71,165.1,95.32,127.96,192.38
2017-06-15,213.69,223.23,52.9,31.58,86.57,105.98,35.31,60.25330794,106.33,80.7,46.64,156.77,82.56,151.17,180.38,45.25,133.04,69.9,128.74782145581594,86.27,89.38,147.30539208,211.29,36.0725,78.91,106.4,164.11,94.17,129.02,195.45
2017-06-16,213.56,221.81,51.1,31.63,86.18,105.51,35.21,60.043532219999996,108.35,81.45,46.63,156.64,78.44,151.99,181.63,45.31,134.35,70.0,128.90101288463225,86.0,89.66,148.41338232,213.24,35.5675,75.24,107.6,162.42,94.17,129.44,196.44
2017-06-19,214.92,226.13,52.02,31.99,88.07,105.37,35.51,60.72053568,107.46,81.88,46.57,158.81,79.81,153.14,183.02,45.38,134.07,70.87,130.0595230650557,87.54,89.86,147.89759376,213.36,36.585,75.5,107.49,165.09,94.79,128.27,199.08
2017-06-20,214.4,225.1,51.56,31.85,87.52,103.94,34.86,61.53103278,106.48,82.51,45.94,157.67,78.3,154.07,183.27,45.61,134.22,69.91,129.1690978850608,86.92,89.63,148.0026618,213.36,36.2525,75.54,107.04,166.29,94.38,128.75,198.33
2017-06-21,213.89,222.49,52.59,31.84,87.12,104.8,34.58,62.417811959999995,104.49,82.21,45.41,156.59,78.12,153.73,184.92,45.22,134.91,70.27,128.5371832411935,87.56,89.4,146.89467156,212.86,36.4675,76.24,103.47,171.35,94.54,128.58,199.17
2017-06-22,213.73,219.77,52.4,31.85,87.02,104.22,34.36,62.95178651999999,104.45,82.25,45.42,155.48,76.37,154.8,186.5,45.07,136.05,70.26,128.36484288377514,88.47,89.03,147.4773216,212.22,36.4075,75.52,103.84,173.82,93.95,128.31,199.44
2017-06-23,213.74,217.19,52.85,32.09,86.86,104.36,34.19,63.085280159999996,105.0,82.22,45.39,151.31,76.34,154.64,185.25,45.25,136.43,71.21,128.28824716936703,88.62,89.42,147.20032404000003,212.9,36.57,74.84,104.11,172.5,95.58,127.66,202.23
2017-06-26,213.87,220.44,53.28,32.24,87.24,105.57,34.07,62.85643392,104.14,82.96,45.75,151.42,77.53,153.96,185.12,45.43,136.34,70.53,128.5467577054945,88.11,89.36,148.27010772,212.61,36.455,75.5,104.25,173.67,95.22,127.95,199.98
2017-06-27,212.93,220.28,52.95,31.76,88.05,105.41,33.65,62.49409404000001,104.07,83.08,44.84,152.24,77.26,153.72,184.6,45.05,135.01,69.21,127.27335395345887,87.68,88.61,147.811629,209.78,35.9325,76.01,103.93,170.85,94.9,127.38,198.89
2017-06-28,214.24,223.22,53.36,32.08,89.82,106.86,34.2,62.13175415999999,104.28,83.97,44.84,153.23,77.09,154.3,185.7,45.32,133.82,69.8,128.26909824076495,88.09,88.37,148.35607248,210.62,36.4575,76.51,106.45,174.07,96.23,127.78,199.62
2017-06-29,212.61,224.41,53.17,31.41,91.15,105.71,33.54,61.34986284,104.12,83.63,44.41,152.16,78.37,153.13,185.27,44.83,132.64,68.49,126.68931163109664,86.8,86.99,147.21942732,207.85,35.92,75.93,105.64,172.59,94.42,126.39,197.46
2017-06-30,213.24,221.9,59.0,31.3,91.4,106.25,33.74,61.111481340000005,104.33,84.24,44.66,153.4,78.31,153.16,185.42,44.85,132.29,68.93,127.61803466829559,86.6,87.15,146.93287812000003,208.19,36.005,75.68,107.46,172.23,93.78,126.53,197.75
2017-07-03,214.49,227.28,58.65,31.33,92.75,107.46,33.46,61.283116019999994,106.3,85.1,45.0,154.01,78.13,152.5,186.65,44.76,132.9,68.17,128.0201621689384,86.1,87.74,148.60441512000003,209.83,35.875,75.36,106.97,172.8,93.35,127.34,198.59
2017-07-05,214.58,228.04,57.56,31.11,93.68,105.63,34.34,61.178228159999996,104.62,84.89,44.65,152.69,78.64,153.07,188.25,44.82,133.64,69.08,128.10633234764762,87.5,87.67,146.78005188,209.76,36.0225,75.32,107.49,174.26,94.01,126.37,201.81
2017-07-06,213.14,226.69,57.16,30.72,93.38,103.35,33.63,60.1674906,103.82,83.74,43.52,152.05,77.72,153.09,186.94,44.4,132.52,68.57,127.69463038270375,86.85,87.37,145.52878704000003,208.02,35.6825,75.47,106.51,171.72,93.25,126.18,201.48
2017-07-07,214.05,225.28,57.98,30.9,93.85,103.32,33.88,60.22470215999999,103.49,84.33,43.48,152.23,77.47,156.27,187.96,44.39,132.54,69.46,128.41271520528025,87.92,87.65,146.08278216,209.59,36.045,75.33,106.92,171.43,93.92,127.17,202.37
2017-07-10,213.99,225.84,58.73,30.98,93.19,103.59,33.65,59.91003858,103.04,84.3,43.2,151.18,77.16,155.52,186.95,44.38,131.55,69.98,128.95845967043837,88.5,87.09,146.54126087999998,210.49,36.265,73.23,107.84,172.2,95.09,125.77,203.96
2017-07-11,213.98,226.95,58.18,31.09,92.83,103.84,33.92,59.44281084,103.12,84.16,42.89,150.6,77.29,154.91,185.95,44.33,131.23,69.99,128.50845984829044,88.35,86.77,146.32157316,209.66,36.3825,73.47,108.24,173.32,95.41,125.05,206.27
2017-07-12,215.23,227.39,58.22,31.16,92.51,104.38,34.25,59.86236228,103.89,84.82,43.22,152.59,77.52,156.58,186.69,44.51,132.23,71.15,129.03505538484657,90.4,86.96,146.80870679999998,211.3,36.435,73.94,108.96,173.27,96.18,125.25,206.44
2017-07-13,215.46,230.4,57.94,31.27,93.1,104.29,34.24,59.96725014,104.13,85.37,43.49,153.29,78.01,155.04,185.48,44.43,131.86,71.77,129.57122538570368,89.57,86.7,146.74184532,211.09,36.9425,75.05,108.47,175.04,95.94,125.43,206.23
2017-07-14,216.26,228.6,58.0,31.42,92.25,105.09,34.68,60.12934956,104.44,85.28,43.56,152.88,78.91,155.28,186.9,44.68,132.6,72.78,130.04994860075467,90.0,87.1,147.32449536000001,211.77,37.26,76.34,108.77,177.13,96.93,125.72,208.51
