Date,Close/Last,Volume,Open,High,Low
09/27/2023,21.25,2527763,21.42,21.44,21.105
09/26/2023,21.34,2408206,21.49,21.58,21.34
09/25/2023,21.62,1974029,21.53,21.65,21.48
09/22/2023,21.64,1239727,21.75,21.815,21.615
09/21/2023,21.35,1983918,21.55,21.59,21.35
09/20/2023,22.05,1146667,22.23,22.40,22.04
09/19/2023,22.16,1128880,22.24,22.29,22.11
09/18/2023,22.17,4414914,22.20,22.20,22.065
09/15/2023,22.24,1868932,22.37,22.43,22.23
09/14/2023,22.33,1625172,22.20,22.37,22.16
09/13/2023,21.90,962220,21.93,21.985,21.83
09/12/2023,22.00,658346,21.97,22.09,21.97
09/11/2023,22.05,1146114,22.14,22.175,22.015
09/08/2023,21.70,957865,21.72,21.81,21.665
09/07/2023,21.75,970558,21.78,21.83,21.66
09/06/2023,21.86,1822001,21.96,22.015,21.775
09/05/2023,22.05,1172572,22.14,22.165,22.04
09/01/2023,22.25,1417619,22.36,22.40,22.12
08/31/2023,22.21,1606372,22.32,22.35,22.16
08/30/2023,22.25,2121122,22.35,22.44,22.2109
08/29/2023,22.12,1351261,21.70,22.12,21.675
08/28/2023,21.71,881410,21.63,21.73,21.63
08/25/2023,21.52,2463148,21.53,21.655,21.295
08/24/2023,21.36,2482473,21.57,21.649,21.36
08/23/2023,21.75,1889022,21.53,21.78,21.525
08/22/2023,21.40,988021,21.53,21.54,21.365
08/21/2023,21.51,906148,21.48,21.535,21.35
08/18/2023,21.46,1666082,21.32,21.51,21.29
08/17/2023,21.44,1978217,21.68,21.74,21.415
08/16/2023,21.63,2295424,21.75,21.88,21.60
08/15/2023,21.87,2421521,22.06,22.09,21.845
08/14/2023,22.14,2195083,22.00,22.175,21.92
08/11/2023,22.25,1847286,22.30,22.40,22.21
08/10/2023,22.44,1837694,22.67,22.82,22.43
08/09/2023,22.45,1167688,22.47,22.54,22.361
08/08/2023,22.41,1333120,22.24,22.415,22.14
08/07/2023,22.56,1166732,22.54,22.56,22.375
08/04/2023,22.47,2821744,22.54,22.78,22.46
08/03/2023,22.34,1372261,22.25,22.4701,22.23
08/02/2023,22.34,1734407,22.52,22.54,22.30
08/01/2023,22.90,1516687,22.99,23.065,22.88
07/31/2023,23.36,1602064,23.27,23.43,23.27
07/28/2023,23.13,1353549,23.17,23.245,23.08
07/27/2023,23.25,3084377,23.66,23.68,23.21
07/26/2023,23.47,2088564,23.34,23.55,23.33
07/25/2023,23.40,1340220,23.24,23.42,23.24
07/24/2023,23.18,1659200,23.05,23.25,23.03
07/21/2023,23.14,1943412,23.17,23.17,23.09
07/20/2023,23.22,1516555,23.34,23.41,23.20
07/19/2023,23.19,4512441,23.20,23.26,23.125
07/18/2023,23.29,1318299,23.15,23.355,23.125
07/17/2023,23.20,785319,23.10,23.22,23.065
07/14/2023,23.30,1286237,23.49,23.505,23.29
07/13/2023,23.43,1377723,23.26,23.46,23.26
07/12/2023,22.83,1071192,22.67,22.835,22.66
07/11/2023,22.30,949912,22.10,22.30,22.075
07/10/2023,21.99,961945,21.81,22.02,21.81
07/07/2023,22.10,1257220,21.86,22.195,21.84
07/06/2023,21.92,1332823,22.09,22.09,21.81
07/05/2023,22.48,7647427,22.63,22.645,22.465
07/03/2023,22.67,773990,22.59,22.70,22.59
06/30/2023,22.55,3844888,22.48,22.595,22.455
06/29/2023,22.34,1057520,22.21,22.37,22.20
06/28/2023,22.22,1135258,22.21,22.30,22.16
06/27/2023,22.36,989187,22.29,22.41,22.21
06/26/2023,22.18,796307,22.08,22.22,22.07
06/23/2023,22.16,1085448,22.07,22.198,22.055
06/22/2023,22.72,1532482,22.67,22.7285,22.60
06/21/2023,23.21,1404869,23.08,23.2866,23.025
06/20/2023,23.29,1220956,23.35,23.39,23.217
06/16/2023,23.33,1936749,23.46,23.46,23.301
06/15/2023,23.23,1522957,22.91,23.24,22.91
06/14/2023,22.81,1487260,22.88,22.9879,22.66
06/13/2023,22.73,3235320,22.76,22.80,22.6619
06/12/2023,22.45,1315844,22.40,22.46,22.32
06/09/2023,22.36,1506157,22.40,22.4599,22.334
06/08/2023,22.38,1318851,22.21,22.38,22.19
06/07/2023,22.05,2079089,22.21,22.33,22.0301
06/06/2023,22.70,1185396,22.51,22.73,22.51
06/05/2023,22.55,1102953,22.69,22.72,22.55
06/02/2023,22.71,1423137,22.60,22.74,22.59
06/01/2023,22.37,1729805,22.03,22.40,22.01
05/31/2023,21.87,1595202,21.80,21.905,21.68
05/30/2023,22.25,1450900,22.40,22.41,22.15
05/26/2023,22.42,830679,22.25,22.43,22.25
05/25/2023,22.06,1275264,22.13,22.135,21.96
05/24/2023,22.28,774882,22.46,22.46,22.25
05/23/2023,22.72,1083943,22.83,22.89,22.70
05/22/2023,23.00,759028,22.94,23.06,22.94
05/19/2023,23.00,1070655,23.08,23.10,22.95
05/18/2023,22.82,857299,22.76,22.83,22.655
05/17/2023,22.92,602269,22.88,22.955,22.725
05/16/2023,22.73,761921,22.97,23.00,22.71
05/15/2023,23.15,2699235,23.04,23.155,22.975
05/12/2023,22.89,1675248,23.00,23.03,22.765
05/11/2023,22.98,2968542,22.97,22.98,22.7946
05/10/2023,23.24,1076331,23.40,23.40,23.02
05/09/2023,23.17,1003029,23.13,23.24,23.11
05/08/2023,23.31,522576,23.44,23.44,23.28
05/05/2023,23.30,982552,23.00,23.35,22.99
05/04/2023,22.66,981719,22.68,22.77,22.60
05/03/2023,22.68,1201131,22.72,22.90,22.66
05/02/2023,22.85,1290545,22.95,22.96,22.69
05/01/2023,23.07,2487699,23.21,23.255,23.04
04/28/2023,23.14,3148248,22.89,23.15,22.8801
04/27/2023,23.12,4082108,22.90,23.12,22.83
04/26/2023,22.84,2112525,22.92,22.98,22.775
04/25/2023,22.91,2043726,23.14,23.16,22.88
04/24/2023,23.33,561012,23.25,23.33,23.21
04/21/2023,23.25,2752055,23.32,23.33,23.16
04/20/2023,23.50,862380,23.49,23.64,23.43
04/19/2023,23.48,615507,23.46,23.52,23.455
04/18/2023,23.55,1433819,23.52,23.58,23.48
04/17/2023,23.45,1287442,23.41,23.48,23.326
04/14/2023,23.46,2579421,23.65,23.73,23.385
04/13/2023,23.69,2775353,23.51,23.705,23.475
04/12/2023,23.38,4003580,23.49,23.535,23.32
04/11/2023,23.25,2137433,23.18,23.29,23.15
04/10/2023,23.05,2163656,22.85,23.06,22.81
04/06/2023,23.09,1437369,22.93,23.19,22.86
04/05/2023,23.09,1485431,23.05,23.14,22.96
04/04/2023,23.15,3992651,23.20,23.24,23.0599
04/03/2023,23.33,4179762,23.21,23.35,23.16
03/31/2023,22.94,1776508,22.92,23.01,22.91
03/30/2023,22.85,1164651,22.86,22.89,22.78
03/29/2023,22.56,1160765,22.54,22.63,22.48
03/28/2023,22.35,1170524,22.24,22.37,22.23
03/27/2023,22.14,2566954,22.08,22.16,21.99
03/24/2023,22.02,1473379,21.89,22.045,21.78
03/23/2023,22.04,2076573,22.23,22.40,21.92
03/22/2023,22.14,1331560,22.31,22.61,22.13
03/21/2023,22.26,1723757,22.27,22.31,22.13
03/20/2023,22.18,1166046,22.10,22.27,22.09
03/17/2023,21.97,1671215,22.05,22.12,21.89
03/16/2023,22.10,1867266,21.70,22.10,21.676
03/15/2023,21.84,4705923,21.821,21.975,21.58
03/14/2023,22.42,2678520,22.38,22.445,22.21
03/13/2023,22.11,7719486,21.97,22.30,21.925
03/10/2023,22.25,2633664,22.51,22.63,22.20
03/09/2023,22.65,1972568,23.01,23.075,22.625
03/08/2023,22.92,1024234,22.87,23.045,22.82
03/07/2023,22.74,3640212,23.16,23.16,22.705
03/06/2023,23.25,1652961,23.28,23.34,23.19
03/03/2023,23.48,1179578,23.25,23.485,23.18
03/02/2023,23.10,1584792,22.89,23.13,22.88
03/01/2023,23.09,1646849,23.04,23.16,22.95
02/28/2023,22.88,2654011,22.92,23.03,22.845
02/27/2023,23.01,1213734,22.97,23.085,22.92
02/24/2023,22.92,4777817,22.88,22.96,22.82
02/23/2023,23.36,1402448,23.41,23.44,23.1001
02/22/2023,23.35,972709,23.46,23.50,23.285
02/21/2023,23.46,998593,23.61,23.68,23.435
02/17/2023,23.69,975030,23.56,23.7099,23.4701
02/16/2023,23.84,3434068,23.71,24.016,23.65
02/15/2023,23.94,1519483,23.72,23.94,23.68
02/14/2023,24.43,4326863,24.20,24.54,24.12
02/13/2023,24.47,1449568,24.23,24.48,24.22
02/10/2023,24.17,1360160,24.23,24.24,24.08
02/09/2023,24.28,10430010,24.70,24.71,24.22
02/08/2023,24.35,1181163,24.50,24.53,24.30
02/07/2023,24.54,7371470,24.14,24.58,24.065
02/06/2023,24.30,888638,24.26,24.35,24.11
02/03/2023,24.53,1159490,24.62,24.815,24.48
02/02/2023,24.94,1346180,25.17,25.18,24.79
02/01/2023,25.12,3257671,24.89,25.22,24.585
01/31/2023,24.86,1015287,24.61,24.885,24.57
01/30/2023,24.69,1161494,24.71,24.86,24.67
01/27/2023,24.94,3961159,24.89,25.03,24.79
01/26/2023,25.02,1062592,25.00,25.06,24.777
01/25/2023,24.86,1446898,24.60,24.88,24.55
01/24/2023,24.62,1229614,24.45,24.64,24.33
01/23/2023,24.55,1048231,24.26,24.5772,24.24
01/20/2023,24.38,2490365,24.10,24.38,24.01
01/19/2023,24.06,1695462,23.98,24.12,23.865
01/18/2023,23.86,1833532,24.41,24.43,23.85
01/17/2023,24.13,1625788,24.10,24.195,24.07
01/13/2023,24.01,5154981,23.68,24.03,23.68
01/12/2023,23.83,6437702,23.67,23.89,23.36
01/11/2023,23.36,2204299,23.24,23.36,23.18
01/10/2023,23.04,1045308,22.99,23.05,22.87
01/09/2023,23.01,1123549,23.10,23.27,22.99
01/06/2023,23.02,1310684,22.50,23.025,22.34
01/05/2023,22.23,2536427,22.29,22.345,22.18
01/04/2023,22.55,2083461,22.61,22.66,22.42
01/03/2023,21.97,2983846,21.96,22.12,21.85
12/30/2022,22.23,3002915,22.21,22.325,22.155
12/29/2022,22.35,2102540,22.21,22.40,22.19
12/28/2022,22.11,2230972,22.45,22.51,22.10
12/27/2022,22.41,2586725,22.39,22.58,22.31
12/23/2022,22.32,2072545,22.14,22.33,22.085
12/22/2022,22.03,1711279,22.21,22.21,21.865
12/21/2022,22.40,5616336,22.29,22.46,22.27
12/20/2022,22.05,1691294,22.00,22.16,21.97
