"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2023","0.1975","0.1966","0.1989","0.1963","19.05K","-0.03%"
"Oct 18, 2023","0.1976","0.1979","0.1984","0.1966","14.23K","-0.15%"
"Oct 17, 2023","0.1979","0.1980","0.1991","0.1969","12.41K","-0.05%"
"Oct 16, 2023","0.1980","0.1956","0.1982","0.1956","9.01K","0.92%"
"Oct 14, 2023","0.1962","0.1962","0.1962","0.1962","-","0.31%"
"Oct 13, 2023","0.1956","0.1960","0.1976","0.1955","9.86K","-0.10%"
"Oct 12, 2023","0.1958","0.1973","0.1984","0.1956","3.65K","-0.66%"
"Oct 11, 2023","0.1971","0.1969","0.1982","0.1966","8.50K","0.15%"
"Oct 10, 2023","0.1968","0.1941","0.1974","0.1936","12.02K","1.39%"
"Oct 09, 2023","0.1941","0.1921","0.1946","0.1921","9.34K","0.31%"
"Oct 07, 2023","0.1935","0.1935","0.1935","0.1935","-","0.21%"
"Oct 06, 2023","0.1931","0.1926","0.1937","0.1909","26.63K","0.16%"
"Oct 05, 2023","0.1928","0.1929","0.1934","0.1920","9.44K","-0.31%"
"Oct 04, 2023","0.1934","0.1930","0.1944","0.1911","20.18K","-0.05%"
"Oct 03, 2023","0.1935","0.1962","0.1965","0.1925","17.19K","-1.33%"
"Oct 02, 2023","0.1961","0.1979","0.1983","0.1960","10.84K","-0.88%"
"Sep 30, 2023","0.1979","0.1979","0.1979","0.1979","-","-0.93%"
"Sep 29, 2023","0.1997","0.1993","0.2003","0.1983","1.72K","0.91%"
"Sep 28, 2023","0.1979","0.1978","0.1993","0.1970","17.68K","0.10%"
"Sep 27, 2023","0.1977","0.2002","0.2009","0.1968","29.37K","-1.35%"
"Sep 26, 2023","0.2004","0.2004","0.2018","0.1996","36.31K","-0.25%"
"Sep 25, 2023","0.2009","0.2024","0.2024","0.2009","18.93K","-0.74%"
"Sep 23, 2023","0.2024","0.2024","0.2024","0.2024","-","-0.10%"
"Sep 22, 2023","0.2026","0.2019","0.2037","0.2018","9.54K","0.00%"
"Sep 21, 2023","0.2026","0.2052","0.2052","0.2023","20.29K","-1.27%"
"Sep 20, 2023","0.2052","0.2051","0.2062","0.2046","9.51K","0.15%"
"Sep 19, 2023","0.2049","0.2055","0.2064","0.2048","7.56K","-0.44%"
"Sep 18, 2023","0.2058","0.2055","0.2061","0.2046","5.98K","0.32%"
"Sep 16, 2023","0.2051","0.2051","0.2051","0.2051","-","0.07%"
"Sep 15, 2023","0.2050","0.2049","0.2055","0.2046","7.57K","0.15%"
"Sep 14, 2023","0.2047","0.2031","0.2052","0.2028","10.70K","0.79%"
"Sep 13, 2023","0.2031","0.2015","0.2038","0.2009","9.27K","0.79%"
"Sep 12, 2023","0.2015","0.2021","0.2024","0.2007","5.97K","-0.30%"
