Date,Close/Last,Volume,Open,High,Low
09/27/2023,42.12,80199,41.84,42.28,41.70
09/26/2023,41.40,46218,41.45,41.70,41.32
09/25/2023,42.09,51059,41.58,42.1216,41.57
09/22/2023,41.61,43481,41.89,42.1641,41.605
09/21/2023,41.59,70466,42.30,42.40,41.57
09/20/2023,42.30,54868,42.46,42.90,42.28
09/19/2023,42.59,60073,43.27,43.33,42.3814
09/18/2023,43.03,72304,43.14,43.21,42.80
09/15/2023,42.88,110810,43.15,43.35,42.83
09/14/2023,43.27,127140,43.12,43.37,43.12
09/13/2023,42.68,59796,42.97,43.0987,42.50
09/12/2023,42.94,40929,42.48,43.00,42.48
09/11/2023,42.19,34443,42.83,43.00,42.08
09/08/2023,42.56,31782,42.38,42.80,42.38
09/07/2023,42.23,42924,42.28,42.52,42.17
09/06/2023,42.35,109864,42.39,42.60,42.09
09/05/2023,42.50,146472,42.81,42.97,42.50
09/01/2023,42.61,49399,42.24,42.67,42.24
08/31/2023,41.899,63572,42.06,42.13,41.73
08/30/2023,41.89,44343,41.86,42.00,41.82
08/29/2023,41.69,442188,41.18,41.70,41.11
08/28/2023,41.35,93274,41.04,41.56,41.04
08/25/2023,40.96,49248,40.97,41.13,40.53
08/24/2023,40.69,51532,40.69,41.10,40.66
08/23/2023,41.02,56869,40.75,41.0908,40.46
08/22/2023,40.99,58939,41.25,41.36,40.99
08/21/2023,41.20,51862,41.46,41.64,40.97
08/18/2023,41.36,37591,40.97,41.40,40.83
08/17/2023,41.12,57508,41.25,41.61,41.12
08/16/2023,40.79,168188,41.08,41.39,40.76
08/15/2023,41.06,28936,41.51,41.52,41.01
08/14/2023,41.95,74270,42.045,42.07,41.66
08/11/2023,42.21,65500,41.68,42.24,41.68
08/10/2023,41.76,180538,41.89,42.17,41.52
08/09/2023,41.76,131273,41.72,42.16,41.56
08/08/2023,41.40,90042,40.72,41.41,40.43
08/07/2023,41.28,125764,41.35,41.48,41.16
08/04/2023,41.23,59342,41.34,41.78,41.21
08/03/2023,41.15,59555,40.79,41.47,40.67
08/02/2023,40.79,62578,41.15,41.15,40.495
08/01/2023,41.42,34419,41.49,41.49,41.05
07/31/2023,41.68,57115,41.27,41.73,41.27
07/28/2023,41.03,89218,40.61,41.0301,40.53
07/27/2023,40.75,52911,41.29,41.39,40.6699
07/26/2023,41.15,75981,40.89,41.28,40.84
07/25/2023,41.18,78562,40.83,41.40,40.80
07/24/2023,40.88,71295,40.44,41.11,40.44
07/21/2023,40.35,204063,40.22,40.36,40.00
07/20/2023,40.10,28846,40.05,40.23,39.86
07/19/2023,39.87,43921,39.72,40.06,39.69
07/18/2023,39.73,56374,39.19,39.99,39.14
07/17/2023,39.21,462918,39.08,39.345,39.07
07/14/2023,39.26,64713,39.97,40.11,39.24
07/13/2023,40.17,202635,40.09,40.41,39.91
07/12/2023,40.05,69860,39.93,40.16,39.87
07/11/2023,39.61,54356,39.04,39.66,39.01
07/10/2023,38.86,75791,38.51,38.88,38.472
07/07/2023,38.61,68177,37.68,38.8899,37.66
07/06/2023,37.81,45497,38.29,38.29,37.53
07/05/2023,38.59,69639,39.11,39.11,38.48
07/03/2023,39.01,35247,38.85,39.24,38.85
06/30/2023,38.82,168161,38.67,38.98,38.52
06/29/2023,38.50,46764,38.07,38.5015,38.07
06/28/2023,38.07,108240,37.93,38.08,37.50
06/27/2023,37.91,66117,37.76,37.96,37.57
06/26/2023,37.74,105761,37.13,37.93,37.13
06/23/2023,37.13,101609,37.16,37.26,36.94
06/22/2023,37.495,240586,37.57,37.59,37.32
06/21/2023,37.93,138389,37.56,38.13,37.51
06/20/2023,37.65,75017,38.14,38.14,37.43
06/16/2023,38.4599,80424,38.57,38.63,38.3158
06/15/2023,38.41,232976,38.01,38.63,38.01
06/14/2023,38.03,234192,38.70,38.82,37.77
06/13/2023,38.34,132352,38.49,38.96,38.33
06/12/2023,38.08,475019,38.00,38.36,37.86
06/09/2023,38.45,165343,38.595,38.78,38.37
06/08/2023,38.64,220772,38.72,38.89,38.12
06/07/2023,38.73,135896,38.11,38.775,38.11
06/06/2023,38.205,725248,37.50,38.23,37.50
06/05/2023,37.89,222104,38.52,38.58,37.87
06/02/2023,38.10,624699,37.59,38.23,37.53
06/01/2023,37.01,1843272,36.48,37.34,36.40
05/31/2023,36.42,250036,36.51,36.54,36.33
05/30/2023,36.92,75465,36.93,36.98,36.62
05/26/2023,37.27,64720,37.56,37.63,37.10
05/25/2023,37.31,120775,37.55,37.55,37.05
05/24/2023,37.99,92237,38.28,38.28,37.78
05/23/2023,38.08,70053,38.16,38.46,37.98
05/22/2023,37.95,71007,37.88,38.235,37.83
05/19/2023,37.92,81691,38.02,38.19,37.81
05/18/2023,37.74,134788,37.39,37.77,37.08
05/17/2023,37.61,222775,37.39,37.75,37.17
05/16/2023,37.06,77844,37.91,37.99,37.06
05/15/2023,38.05,92985,37.86,38.215,37.70
05/12/2023,37.73,108684,37.815,38.02,37.475
05/11/2023,37.67,75978,37.79,37.8873,37.48
05/10/2023,38.24,72007,38.80,38.80,37.92
05/09/2023,38.54,307116,38.27,38.80,38.27
05/08/2023,38.52,59726,39.00,39.06,38.51
05/05/2023,38.51,158017,38.27,38.74,38.27
05/04/2023,37.57,309835,37.78,38.01,37.52
05/03/2023,37.69,170222,37.86,38.22,37.65
05/02/2023,38.26,607419,39.24,39.24,37.93
05/01/2023,39.56,65013,39.56,39.93,39.45
04/28/2023,39.86,105584,39.17,40.02,39.17
04/27/2023,39.22,85621,38.96,39.33,38.78
04/26/2023,38.96,133907,39.44,39.52,38.78
04/25/2023,39.48,120146,39.96,39.96,39.33
04/24/2023,40.27,51773,39.72,40.38,39.71
04/21/2023,39.83,62151,40.21,40.21,39.65
04/20/2023,40.14,376522,40.11,40.16,39.85
04/19/2023,40.49,73083,40.36,40.49,40.16
04/18/2023,40.70,72363,40.62,40.78,40.48
04/17/2023,40.65,215513,40.94,41.01,40.505
04/14/2023,41.0501,52198,41.12,41.31,40.82
04/13/2023,41.09,54862,40.78,41.2139,40.71
04/12/2023,40.69,137298,40.90,40.96,40.581
04/11/2023,40.64,70279,40.47,40.86,40.38
04/10/2023,40.24,105757,39.97,40.54,39.97
04/06/2023,40.03,149274,40.34,40.34,39.96
04/05/2023,40.45,139781,40.02,40.45,39.79
04/04/2023,40.14,167319,40.74,40.74,39.77
04/03/2023,40.68,164535,40.43,40.83,40.29
03/31/2023,39.17,143215,39.03,39.192,38.93
03/30/2023,38.87,101751,39.03,39.03,38.69
03/29/2023,38.72,205674,38.56,38.76,38.44
03/28/2023,38.23,96428,37.58,38.35,37.58
03/27/2023,37.66,118657,37.30,37.85,37.0699
03/24/2023,37.03,148737,36.33,37.13,36.12
03/23/2023,36.88,126714,37.41,37.825,36.57
03/22/2023,37.5191,119547,38.20,38.49,37.5191
03/21/2023,38.17,69031,37.81,38.28,37.71
03/20/2023,37.30,275189,36.64,37.49,36.64
03/17/2023,36.54,163310,36.78,37.00,36.24
03/16/2023,36.98,352491,35.97,37.04,35.79
03/15/2023,36.58,231800,37.42,37.42,36.02
03/14/2023,38.41,104293,38.28,39.14,37.87
03/13/2023,38.16,151238,38.04,38.86,37.54
03/10/2023,38.71,88800,39.29,39.70,38.57
03/09/2023,39.27,93724,40.09,40.57,39.24
03/08/2023,39.92,79536,40.07,40.50,39.6196
03/07/2023,40.17,46369,40.85,40.85,40.07
03/06/2023,41.01,197600,41.10,41.1309,40.83
03/03/2023,41.32,39104,40.48,41.44,40.43
03/02/2023,40.72,119747,40.20,40.86,40.09
03/01/2023,40.33,93316,39.68,40.49,39.63
02/28/2023,39.51,76315,40.27,40.27,39.51
02/27/2023,39.98,242970,39.85,40.14,39.71
02/24/2023,39.80,97498,39.30,39.83,39.0394
02/23/2023,39.76,104979,39.66,39.99,39.32
02/22/2023,39.33,72513,39.52,39.70,39.10
02/21/2023,39.57,71825,39.76,40.05,39.496
02/17/2023,39.96,84546,40.61,40.68,39.81
02/16/2023,41.17,108696,41.30,41.69,41.15
02/15/2023,41.61,51407,41.62,41.62,41.13
02/14/2023,42.15,48597,41.84,42.3501,41.65
02/13/2023,42.06,78171,41.93,42.19,41.65
02/10/2023,42.11,80129,41.35,42.1499,41.35
02/09/2023,40.91,176713,41.44,41.52,40.84
02/08/2023,41.31,184891,41.76,41.82,41.07
02/07/2023,41.68,95462,40.87,41.7785,40.70
02/06/2023,40.69,102694,40.90,41.12,40.30
02/03/2023,41.00,133864,41.20,41.85,40.93
02/02/2023,41.30,309709,41.96,42.04,40.94
02/01/2023,42.07,107514,42.46,42.55,41.385
01/31/2023,42.6733,123450,42.12,42.68,41.85
01/30/2023,42.16,434404,42.64,42.78,42.15
01/27/2023,43.01,220635,43.33,43.67,42.95
01/26/2023,43.51,305630,43.16,43.53,42.54
01/25/2023,42.61,184684,42.33,42.61,41.80
01/24/2023,42.57,232835,42.60,42.63,41.91
01/23/2023,42.77,351470,42.77,43.01,42.62
01/20/2023,42.69,150367,42.30,42.6915,41.88
01/19/2023,42.13,204881,41.50,42.30,41.47
01/18/2023,41.72,457681,42.74,43.08,41.71
01/17/2023,42.39,160970,42.60,42.78,42.265
01/13/2023,42.50,103198,42.24,42.59,41.99
01/12/2023,42.35,101205,41.91,42.59,41.76
01/11/2023,41.57,129523,41.72,41.83,41.18
01/10/2023,41.41,79683,41.23,41.45,40.775
01/09/2023,41.12,136165,41.72,41.775,41.09
01/06/2023,41.06,237693,40.665,41.40,40.66
01/05/2023,40.16,131998,39.65,40.34,39.59
01/04/2023,39.78,212598,39.09,39.965,39.09
01/03/2023,39.48,212059,40.57,40.75,39.1125
12/30/2022,40.66,103239,40.31,40.71,40.31
12/29/2022,40.53,91801,40.01,40.69,40.01
12/28/2022,40.08,261309,41.06,41.06,39.99
12/27/2022,41.16,94325,41.02,41.27,40.78
12/23/2022,40.73,102000,39.92,40.735,39.84
12/22/2022,39.62,107225,40.43,40.43,38.91
12/21/2022,40.51,130922,40.39,40.63,40.05
12/20/2022,39.77,89058,39.16,39.93,39.16
12/19/2022,39.17,127283,39.69,39.82,38.90
12/16/2022,39.35,135042,39.05,39.51,38.94
12/15/2022,39.88,191795,39.83,40.03,39.365
12/14/2022,40.37,222714,40.74,40.84,40.106
12/13/2022,40.57,234300,40.84,41.01,40.31
12/12/2022,40.15,159709,39.49,40.1832,39.30
12/09/2022,39.31,120972,40.08,40.39,39.31
12/08/2022,40.09,237721,40.99,41.08,39.93
12/07/2022,40.26,111834,40.40,40.86,40.01
12/06/2022,40.37,186778,40.97,41.52,40.13
12/05/2022,41.23,183603,42.83,42.91,40.99
12/02/2022,42.52,115986,42.31,42.725,42.31
12/01/2022,42.68,319608,43.11,43.35,42.64
11/30/2022,42.80,206557,42.76,42.87,41.979
11/29/2022,42.34,92159,42.29,42.615,42.08
11/28/2022,41.81,225578,42.06,42.40,41.80
11/25/2022,42.96,39535,43.09,43.36,42.92
11/23/2022,43.10,151701,42.80,43.25,42.69
11/22/2022,43.41,210411,42.47,43.45,42.47
11/21/2022,42.04,356340,41.84,42.15,40.88
11/18/2022,42.57,178373,42.14,42.66,41.73
11/17/2022,42.76,277540,42.19,42.7811,42.0001
11/16/2022,42.87,156222,43.39,43.47,42.70
11/15/2022,43.66,349990,43.37,43.75,43.22
11/14/2022,43.16,207677,43.38,43.91,43.16
11/11/2022,43.46,321769,43.16,43.66,43.0538
11/10/2022,42.41,396602,41.98,42.4392,41.56
11/09/2022,41.00,182463,42.46,42.46,40.92
11/08/2022,42.89,227405,42.76,43.06,42.23
11/07/2022,42.66,279797,42.27,42.76,42.11
11/04/2022,42.06,441815,42.27,42.59,41.375
11/03/2022,41.15,245899,40.30,41.40,40.15
11/02/2022,40.57,645530,41.45,41.88,40.51
11/01/2022,41.58,184103,42.03,42.03,41.46
10/31/2022,41.25,324283,40.64,41.6799,40.64
10/28/2022,41.01,353955,41.25,41.48,40.34
10/27/2022,41.00,275702,41.44,41.71,40.93
