Date,Close/Last,Volume,Open,High,Low
10/18/2023,5.06,N/A,5.0591,5.0755,5.0287
10/17/2023,5.0387,N/A,5.0414,5.0417,5.0387
10/16/2023,5.039,N/A,5.0377,5.0394,5.039
10/13/2023,5.079,N/A,5.046,5.1024,5.0455
10/12/2023,5.0475,N/A,5.0475,5.0475,5.0475
10/11/2023,5.0501,N/A,5.0483,5.0704,5.029
10/10/2023,5.0523,N/A,5.0516,5.0523,5.0516
10/09/2023,5.1368,N/A,5.1368,5.1368,5.1368
10/06/2023,5.1455,N/A,5.1658,5.22,5.1427
10/05/2023,5.1668,N/A,5.1658,5.1685,5.1668
10/04/2023,5.1544,N/A,5.1562,5.1778,5.1241
10/03/2023,5.1677,N/A,5.1669,5.1677,5.1668
10/02/2023,5.0637,N/A,5.061,5.0802,5.0308
09/29/2023,5.0341,N/A,5.0331,5.0406,4.9887
09/28/2023,5.0339,N/A,5.0425,5.0687,5.0156
09/27/2023,5.0442,N/A,5.0425,5.0442,5.0436
09/26/2023,4.9872,N/A,4.9898,4.9904,4.9872
09/25/2023,4.9704,N/A,4.9678,4.9704,4.9684
09/22/2023,4.9365,N/A,4.9351,4.9376,4.9043
09/21/2023,4.9367,N/A,4.9351,4.9389,4.8798
09/20/2023,4.8802,N/A,4.8801,4.8835,4.8425
09/19/2023,4.867,N/A,4.8673,4.8678,4.867
09/18/2023,4.8549,N/A,4.8556,4.8572,4.8549
09/17/2023,4.8685,N/A,4.8685,4.8685,4.8685
09/15/2023,4.8657,N/A,4.8668,4.8781,4.8586
09/14/2023,4.8707,N/A,4.8668,4.8707,4.8682
09/13/2023,4.9163,N/A,4.9153,4.9167,4.9163
09/12/2023,4.9476,N/A,4.947,4.968,4.9307
09/11/2023,4.9309,N/A,4.9307,4.9323,4.9307
09/10/2023,4.9845,N/A,4.9845,4.9845,4.9845
09/08/2023,4.9855,N/A,4.9767,4.9941,4.965
09/07/2023,4.9777,N/A,4.9777,4.9777,4.9777
09/06/2023,4.9794,N/A,4.9784,4.9794,4.9779
09/05/2023,4.9679,N/A,4.9671,4.9858,4.9376
09/04/2023,4.9375,N/A,4.9376,4.9388,4.9375
09/01/2023,4.9503,N/A,4.9544,4.9552,4.9008
08/31/2023,4.9552,N/A,4.9544,4.9552,4.9542
08/30/2023,4.8908,N/A,4.8523,4.8915,4.8439
08/29/2023,4.8536,N/A,4.8523,4.902,4.8491
08/28/2023,4.8736,N/A,4.8731,4.8741,4.8736
08/27/2023,4.8719,N/A,4.8711,4.9008,4.8579
08/25/2023,4.8745,N/A,4.8802,4.9008,4.8579
08/24/2023,4.8816,N/A,4.8802,4.882,4.8816
08/23/2023,4.8577,N/A,4.8572,4.8579,4.8576
08/22/2023,4.9382,N/A,4.9386,4.9388,4.9349
08/21/2023,4.9802,N/A,4.9793,4.9802,4.9798
08/20/2023,4.9684,N/A,4.9694,5.0019,4.9567
08/18/2023,4.9706,N/A,4.9758,5.0019,4.9567
08/17/2023,4.9771,N/A,4.9758,4.9957,4.9591
08/16/2023,4.9884,N/A,4.9879,4.9923,4.9515
08/15/2023,4.9859,N/A,4.9845,4.9859,4.9857
08/14/2023,4.963,N/A,4.9615,4.971,4.9083
08/11/2023,4.9076,N/A,4.8924,4.9096,4.8627
08/10/2023,4.8929,N/A,4.8924,4.8934,4.8929
08/09/2023,4.9026,N/A,4.902,4.9155,4.8744
08/08/2023,4.9009,N/A,4.8996,4.9009,4.9005
08/07/2023,4.8995,N/A,4.8733,4.9141,4.8685
08/04/2023,4.8764,N/A,4.917,4.9186,4.846
08/03/2023,4.9184,N/A,4.917,4.9186,4.9176
08/02/2023,4.8125,N/A,4.812,4.8125,4.8124
08/01/2023,4.7935,N/A,4.7911,4.7935,4.7926
07/31/2023,4.7246,N/A,4.7241,4.7246,4.7236
07/28/2023,4.7329,N/A,4.7424,4.75,4.6963
07/27/2023,4.7432,N/A,4.7424,4.7439,4.7432
07/26/2023,4.7367,N/A,4.7364,4.7375,4.7367
07/25/2023,4.7508,N/A,4.7498,4.7593,4.7172
07/24/2023,4.7271,N/A,4.7271,4.7288,4.7271
07/21/2023,4.7806,N/A,4.798,4.824,4.7615
07/20/2023,4.7982,N/A,4.798,4.8111,4.7682
07/19/2023,4.7914,N/A,4.7909,4.7922,4.7914
07/18/2023,4.8108,N/A,4.8105,4.8271,4.7943
07/17/2023,4.8074,N/A,4.8066,4.8499,4.7896
07/16/2023,4.7896,N/A,4.7894,4.8148,4.776
07/14/2023,4.7904,N/A,4.7971,4.8148,4.776
07/13/2023,4.7965,N/A,4.7971,4.8264,4.7864
07/12/2023,4.819,N/A,4.8184,4.819,4.8189
07/11/2023,4.8532,N/A,4.8538,4.8548,4.8532
07/10/2023,4.8998,N/A,4.8978,4.8998,4.8978
07/07/2023,4.8725,N/A,4.9193,4.9325,4.8478
07/06/2023,4.9202,N/A,4.9202,4.9202,4.9202
07/05/2023,4.8488,N/A,4.8478,4.8706,4.8351
07/04/2023,4.8413,N/A,4.8408,4.8418,4.8413
07/03/2023,4.8079,N/A,4.8077,4.8084,4.8079
06/30/2023,4.7852,N/A,4.8553,4.8706,4.7835
06/29/2023,4.8571,N/A,4.8553,4.8734,4.829
06/28/2023,4.8505,N/A,4.8103,4.8713,4.8097
06/27/2023,4.8111,N/A,4.8103,4.8141,4.7515
06/26/2023,4.7688,N/A,4.7688,4.7688,4.7688
06/23/2023,4.7852,N/A,4.7689,4.8068,4.7656
06/22/2023,4.7734,N/A,4.7689,4.7734,4.7731
06/21/2023,4.7638,N/A,4.7638,4.7638,4.7638
06/20/2023,4.7907,N/A,4.7902,4.7907,4.7907
06/19/2023,4.7781,N/A,4.7772,4.7783,4.7781
06/16/2023,4.8247,N/A,4.8102,4.85,4.807
06/15/2023,4.8107,N/A,4.8102,4.8114,4.8107
06/14/2023,4.8161,N/A,4.8146,4.8162,4.8161
06/13/2023,4.8627,N/A,4.8622,4.8628,4.8627
06/12/2023,4.8621,N/A,4.8613,4.9002,4.8621
06/09/2023,4.8811,N/A,4.9235,4.9264,4.8554
06/08/2023,4.9237,N/A,4.9237,4.9237,4.9237
06/07/2023,4.9238,N/A,4.9235,4.9238,4.9237
06/06/2023,4.9134,N/A,4.9125,4.9138,4.9134
06/05/2023,4.9272,N/A,4.9289,4.9292,4.9272
06/02/2023,4.9585,N/A,5.014,5.0148,4.9461
06/01/2023,5.0145,N/A,5.014,5.0148,5.0145
05/31/2023,5.0558,N/A,5.0574,5.058,5.0553
05/30/2023,5.0365,N/A,5.0357,5.069,4.9742
05/29/2023,5.0194,N/A,5.0171,5.0205,4.9742
05/26/2023,4.9961,N/A,5.0356,5.0365,4.9794
05/25/2023,5.0365,N/A,5.0356,5.0365,5.0364
05/24/2023,4.9602,N/A,4.9619,4.9623,4.9597
05/23/2023,4.9727,N/A,4.9714,4.9728,4.9707
05/22/2023,4.9674,N/A,4.9667,4.9674,4.9665
05/21/2023,4.9983,N/A,4.9983,4.9983,4.9983
05/19/2023,4.9984,N/A,4.9652,5.0016,4.944
05/18/2023,4.9662,N/A,4.9652,4.9668,4.9662
05/17/2023,4.9391,N/A,4.9396,4.9401,4.9391
05/16/2023,4.941,N/A,4.9402,4.9411,4.9408
05/15/2023,4.8894,N/A,4.8904,4.8899,4.8893
05/12/2023,4.9214,N/A,4.9295,4.9566,4.9093
05/11/2023,4.9308,N/A,4.9295,4.9309,4.9308
05/10/2023,4.9444,N/A,4.9424,4.9445,4.9443
05/09/2023,4.9872,N/A,4.9862,4.9877,4.9872
05/08/2023,5.0097,N/A,5.0097,5.0106,5.0097
05/07/2023,4.9531,N/A,4.9518,4.9531,4.9531
05/05/2023,4.9502,N/A,4.9822,5.0066,4.926
05/04/2023,4.9845,N/A,4.9822,4.9847,4.9834
05/03/2023,4.9956,N/A,4.9949,4.996,4.9956
05/02/2023,5.0408,N/A,4.9889,5.0529,4.989
05/01/2023,4.9893,N/A,4.9889,4.9893,4.9893
04/30/2023,4.9875,N/A,4.9875,4.9875,4.9875
04/28/2023,4.9864,N/A,4.9771,5.0178,4.9776
04/27/2023,4.9776,N/A,4.9771,4.9776,4.9776
04/26/2023,5.0445,N/A,5.0435,5.0445,5.0445
04/25/2023,5.0542,N/A,5.0497,5.0542,5.0503
04/24/2023,5.0348,N/A,5.0337,5.0356,5.0348
04/21/2023,5.0494,N/A,5.0486,5.0494,5.0493
04/20/2023,5.0494,N/A,5.0486,5.0494,5.0493
04/19/2023,5.0758,N/A,5.0753,5.0759,5.0756
04/18/2023,4.9859,N/A,4.984,4.9874,4.9859
04/17/2023,4.9415,N/A,4.9413,4.9426,4.9415
04/14/2023,4.9086,N/A,4.9272,4.9644,4.8931
04/13/2023,4.928,N/A,4.9272,4.928,4.9277
04/12/2023,4.919,N/A,4.919,4.919,4.919
04/11/2023,5.0054,N/A,5.0054,5.0077,5.0054
04/10/2023,5.0667,N/A,5.0655,5.0675,5.0657
04/09/2023,5.0558,N/A,5.0549,5.0599,5.0558
04/07/2023,5.0558,N/A,5.057,5.0599,5.0558
04/06/2023,5.0596,N/A,5.057,5.0599,5.0584
04/05/2023,5.0343,N/A,5.034,5.0345,5.0342
04/04/2023,5.0709,N/A,5.0632,5.0992,5.0501
04/03/2023,5.0654,N/A,5.0631,5.0823,5.0392
03/31/2023,5.0642,N/A,5.0938,5.109,5.0559
03/30/2023,5.0943,N/A,5.0938,5.0943,5.094
03/29/2023,5.1356,N/A,5.1356,5.1371,5.1323
03/28/2023,5.1658,N/A,5.1655,5.1673,5.1658
03/27/2023,5.1986,N/A,5.1983,5.1993,5.1946
03/24/2023,5.2447,N/A,5.2973,5.3414,5.2389
03/23/2023,5.2984,N/A,5.2973,5.2984,5.2976
03/22/2023,5.2371,N/A,5.2369,5.2388,5.2371
03/21/2023,5.2426,N/A,5.243,5.2438,5.2426
03/20/2023,5.237,N/A,5.2368,5.2371,5.237
03/19/2023,5.2756,N/A,5.2778,5.2846,5.23
03/17/2023,5.2797,N/A,5.2285,5.2846,5.23
03/16/2023,5.2312,N/A,5.2285,5.2312,5.23
03/15/2023,5.2885,N/A,5.2882,5.2887,5.2884
03/14/2023,5.2539,N/A,5.2543,5.2547,5.2539
03/13/2023,5.2472,N/A,5.2459,5.2472,5.247
03/12/2023,5.2171,N/A,5.2166,5.2171,5.2171
03/10/2023,5.2171,N/A,5.1645,5.2214,5.1514
03/09/2023,5.165,N/A,5.1453,5.1913,5.1015
03/08/2023,5.1458,N/A,5.1453,5.1913,5.1015
03/07/2023,5.1913,N/A,5.191,5.1913,5.1913
03/06/2023,5.1539,N/A,5.1534,5.1539,5.1539
03/03/2023,5.1928,N/A,5.2006,5.229,5.1836
03/02/2023,5.2011,N/A,5.2006,5.2011,5.2011
03/01/2023,5.1797,N/A,5.1794,5.1797,5.1796
02/28/2023,5.237,N/A,5.2367,5.237,5.2369
02/27/2023,5.2012,N/A,5.2008,5.2013,5.2012
02/24/2023,5.2105,N/A,5.1373,5.2144,5.135
02/23/2023,5.1378,N/A,5.1373,5.1378,5.1378
02/22/2023,5.1527,N/A,5.1522,5.1527,5.1527
02/21/2023,5.168,N/A,5.1675,5.168,5.168
02/20/2023,5.1679,N/A,5.1674,5.1679,5.1679
02/19/2023,5.1679,N/A,5.1674,5.1679,5.1679
02/17/2023,5.1679,N/A,5.2178,5.2526,5.1504
02/16/2023,5.218,N/A,5.2178,5.218,5.218
02/15/2023,5.1928,N/A,5.1923,5.1928,5.1927
02/14/2023,5.1928,N/A,5.1923,5.1928,5.1927
02/13/2023,5.1601,N/A,5.1596,5.1601,5.16
02/10/2023,5.2124,N/A,5.2911,5.3087,5.2099
