Date,Close/Last,Volume,Open,High,Low
09/27/2023,82.90,4257863,82.24,83.29,82.05
09/26/2023,80.88,2522705,79.97,81.05,79.89
09/25/2023,80.39,1918337,80.59,80.65,79.67
09/22/2023,80.63,2704957,81.55,81.60,79.99
09/21/2023,80.41,3100875,81.25,81.51,80.395
09/20/2023,80.14,4122836,80.56,81.59,80.13
09/19/2023,81.50,6660528,82.18,82.28,81.12
09/18/2023,81.45,5940835,81.79,81.94,80.80
09/15/2023,81.29,2874487,80.29,81.34,80.09
09/14/2023,81.12,3098890,80.66,81.14,80.53
09/13/2023,79.68,2783802,79.86,80.04,79.2288
09/12/2023,79.70,3308786,79.36,80.01,79.31
09/11/2023,78.37,2083754,78.93,79.12,78.14
09/08/2023,78.30,2039463,78.14,78.73,77.88
09/07/2023,77.95,2671387,78.15,78.50,77.44
09/06/2023,78.52,3159808,77.60,78.77,77.42
09/05/2023,77.76,4782183,78.07,78.78,77.39
09/01/2023,76.92,4205780,76.00,76.935,75.94
08/31/2023,75.06,2900837,74.48,75.1799,73.95
08/30/2023,73.66,2228099,73.73,74.01,73.06
08/29/2023,73.32,2890396,72.66,73.35,71.79
08/28/2023,72.41,1618724,72.40,73.13,72.11
08/25/2023,72.45,3105963,72.62,72.66,70.82
08/24/2023,71.41,2368735,70.88,71.73,70.45
08/23/2023,71.36,3836870,70.80,72.00,70.43
08/22/2023,72.28,1656073,72.76,72.87,72.06
08/21/2023,72.58,2085611,73.42,73.51,72.42
08/18/2023,72.79,2734937,72.18,73.06,71.91
08/17/2023,71.98,2647626,72.57,72.82,71.92
08/16/2023,71.37,3789622,72.90,73.145,71.29
08/15/2023,72.62,3907485,73.25,73.26,72.18
08/14/2023,73.81,3545425,73.69,74.22,73.35
08/11/2023,74.25,3137824,74.14,74.81,73.95
08/10/2023,74.20,3443917,74.66,75.09,73.96
08/09/2023,75.10,4777128,74.78,75.36,74.21
08/08/2023,74.06,4218657,72.47,74.27,72.04
08/07/2023,73.82,1858820,73.76,73.87,73.035
08/04/2023,73.79,2016991,73.22,74.29,72.94
08/03/2023,73.14,2923083,71.70,73.25,71.70
08/02/2023,71.48,3173369,72.67,72.74,70.88
08/01/2023,72.96,1487378,72.68,73.19,72.17
07/31/2023,73.17,2074314,72.75,73.29,72.56
07/28/2023,72.09,1751601,71.32,72.24,70.87
07/27/2023,71.43,1807191,71.16,71.99,70.72
07/26/2023,70.66,1384274,70.59,71.305,70.41
07/25/2023,71.16,2340054,70.40,71.41,70.27
07/24/2023,70.69,2420158,69.61,70.93,69.29
07/21/2023,68.99,2993283,68.52,69.31,68.17
07/20/2023,68.05,2031411,68.33,68.49,67.13
07/19/2023,67.69,1934966,68.39,68.92,67.49
